name	group	targetID
Coagulation factor VIIa Recombinant Human	approved	BE0000216
Coagulation factor VIIa Recombinant Human	approved	BE0000967
Coagulation factor VIIa Recombinant Human	approved	BE0000403
Coagulation factor VIIa Recombinant Human	approved	BE0000333
Coagulation factor VIIa Recombinant Human	approved	BE0001178
Oprelvekin	approved,investigational	BE0000416
Palifermin	approved	BE0000748
Palifermin	approved	BE0002131
Palifermin	approved	BE0001031
Glucagon	approved	BE0000527
Glucagon	approved	BE0002134
Glucagon	approved	BE0000857
Aldesleukin	approved	BE0000651
Aldesleukin	approved	BE0000658
Aldesleukin	approved	BE0002102
Botulinum Toxin Type B	approved,investigational	BE0002137
Botulinum Toxin Type B	approved,investigational	BE0002136
Botulinum Toxin Type B	approved,investigational	BE0002138
Omalizumab	approved,investigational	BE0000015
Omalizumab	approved,investigational	BE0002139
Lutropin alfa	approved	BE0000134
Lyme disease vaccine (recombinant OspA)	approved,withdrawn	BE0001164
Insulin lispro	approved	BE0000033
Insulin lispro	approved	BE0000858
Insulin glargine	approved	BE0000033
Insulin glargine	approved	BE0000858
Collagenase clostridium histolyticum	approved,investigational	BE0000025
Collagenase clostridium histolyticum	approved,investigational	BE0002140
Collagenase clostridium histolyticum	approved,investigational	BE0002130
Rasburicase	approved,investigational	BE0004823
Cetrorelix	approved,investigational	BE0000203
Cetrorelix	approved,investigational	BE0000134
Adalimumab	approved,experimental	BE0000704
Somatotropin	approved,investigational	BE0000075
Somatotropin	approved,investigational	BE0000345
Imiglucerase	approved	BE0004806
Abciximab	approved	BE0001155
Abciximab	approved	BE0000439
Abciximab	approved	BE0002098
Abciximab	approved	BE0002099
Abciximab	approved	BE0001068
Drotrecogin alfa	approved,investigational,withdrawn	BE0000016
Drotrecogin alfa	approved,investigational,withdrawn	BE0000041
Drotrecogin alfa	approved,investigational,withdrawn	BE0000240
Drotrecogin alfa	approved,investigational,withdrawn	BE0001151
Drotrecogin alfa	approved,investigational,withdrawn	BE0000943
Drotrecogin alfa	approved,investigational,withdrawn	BE0000048
Drotrecogin alfa	approved,investigational,withdrawn	BE0001129
Drotrecogin alfa	approved,investigational,withdrawn	BE0002112
Drotrecogin alfa	approved,investigational,withdrawn	BE0002142
Drotrecogin alfa	approved,investigational,withdrawn	BE0001161
Gemtuzumab ozogamicin	approved,investigational	BE0000674
Gemtuzumab ozogamicin	approved,investigational	BE0000901
Gemtuzumab ozogamicin	approved,investigational	BE0002097
Gemtuzumab ozogamicin	approved,investigational	BE0000710
Indium In-111 satumomab pendetide	experimental,withdrawn	BE0004842
Alpha-1-proteinase inhibitor	approved	BE0000394
Pegaspargase	approved,investigational	BE0004798
Interferon beta-1a	approved,investigational	BE0000661
Interferon beta-1a	approved,investigational	BE0000385
Pegademase	approved	BE0004828
Pegademase	approved	BE0000917
Albumin human	approved	BE0009576
Eptifibatide	approved,investigational	BE0001155
Infliximab	approved	BE0000704
Follitropin	approved	BE0000387
Vasopressin	approved	BE0000293
Vasopressin	approved	BE0000165
Vasopressin	approved	BE0000773
Interferon beta-1b	approved	BE0000661
Interferon beta-1b	approved	BE0000385
Interferon alfacon-1	approved,investigational	BE0000661
Interferon alfacon-1	approved,investigational	BE0000385
Hyaluronidase (ovine)	approved,investigational	BE0004821
Hyaluronidase (ovine)	approved,investigational	BE0000984
Insulin pork	approved	BE0000033
Insulin pork	approved	BE0000858
Insulin pork	approved	BE0001183
Insulin pork	approved	BE0002122
Insulin pork	approved	BE0004466
Insulin pork	approved	BE0002123
Insulin pork	approved	BE0000941
Insulin pork	approved	BE0001123
Insulin pork	approved	BE0002124
Insulin pork	approved	BE0002125
Insulin pork	approved	BE0001147
Insulin pork	approved	BE0000942
Insulin pork	approved	BE0002126
Insulin pork	approved	BE0002127
Trastuzumab	approved,investigational	BE0000511
Rituximab	approved	BE0000066
Basiliximab	approved,investigational	BE0000658
Basiliximab	approved,investigational	BE0000651
Muromonab	approved,investigational	BE0003456
Muromonab	approved,investigational	BE0000274
Muromonab	approved,investigational	BE0003457
Muromonab	approved,investigational	BE0003458
Muromonab	approved,investigational	BE0000901
Digoxin Immune Fab (Ovine)	approved	BE0004837
Ibritumomab tiuxetan	approved,investigational	BE0000066
Daptomycin	approved,investigational	BE0010021
Tositumomab	approved,investigational	BE0000066
Tositumomab	approved,investigational	BE0002099
Pegvisomant	approved	BE0000075
Botulinum toxin type A	approved,investigational	BE0000390
Botulinum toxin type A	approved,investigational	BE0003572
Pancrelipase	approved,investigational	BE0004834
Pancrelipase	approved,investigational	BE0004835
Pancrelipase	approved,investigational	BE0004836
Streptokinase	approved,investigational	BE0000211
Streptokinase	approved,investigational	BE0000928
Alemtuzumab	approved,investigational	BE0000083
Alemtuzumab	approved,investigational	BE0000901
Alemtuzumab	approved,investigational	BE0002097
Alemtuzumab	approved,investigational	BE0000710
Alemtuzumab	approved,investigational	BE0002098
Alemtuzumab	approved,investigational	BE0002099
Alemtuzumab	approved,investigational	BE0002100
Alglucerase	approved,investigational	BE0004806
Capromab pendetide	approved	BE0000568
Laronidase	approved	BE0004822
Cyclosporine	approved,investigational,vet_approved	BE0000379
Cyclosporine	approved,investigational,vet_approved	BE0002143
Cyclosporine	approved,investigational,vet_approved	BE0001014
Cyclosporine	approved,investigational,vet_approved	BE0001399
Alefacept	approved,investigational,withdrawn	BE0000719
Alefacept	approved,investigational,withdrawn	BE0002097
Alefacept	approved,investigational,withdrawn	BE0000901
Felypressin	experimental	BE0000165
Urofollitropin	approved,vet_approved	BE0000387
Efalizumab	approved,investigational	BE0000516
Efalizumab	approved,investigational	BE0009967
Choriogonadotropin alfa	approved	BE0000134
Choriogonadotropin alfa	approved	BE0000387
Antithymocyte immunoglobulin (rabbit)	approved	BE0000598
Antithymocyte immunoglobulin (rabbit)	approved	BE0003573
Antithymocyte immunoglobulin (rabbit)	approved	BE0000516
Antithymocyte immunoglobulin (rabbit)	approved	BE0000846
Antithymocyte immunoglobulin (rabbit)	approved	BE0002099
Antithymocyte immunoglobulin (rabbit)	approved	BE0003488
Antithymocyte immunoglobulin (rabbit)	approved	BE0003575
Antithymocyte immunoglobulin (rabbit)	approved	BE0003576
Antithymocyte immunoglobulin (rabbit)	approved	BE0001155
Filgrastim	approved	BE0000793
Filgrastim	approved	BE0000394
Coagulation Factor IX (Recombinant)	approved,investigational	BE0000216
Coagulation Factor IX (Recombinant)	approved,investigational	BE0001021
Coagulation Factor IX (Recombinant)	approved,investigational	BE0000333
Coagulation Factor IX (Recombinant)	approved,investigational	BE0000016
Coagulation Factor IX (Recombinant)	approved,investigational	BE0000048
Coagulation Factor IX (Recombinant)	approved,investigational	BE0002110
Coagulation Factor IX (Recombinant)	approved,investigational	BE0000403
Becaplermin	approved,investigational	BE0000205
Becaplermin	approved,investigational	BE0000852
Becaplermin	approved,investigational	BE0000910
Agalsidase beta	approved,investigational	BE0004830
Octreotide	approved,investigational	BE0010008
Interferon alfa-2b	approved	BE0000385
Interferon alfa-2b	approved	BE0000661
Abarelix	approved,investigational,withdrawn	BE0000203
Oxytocin	approved,vet_approved	BE0000844
Oxytocin	approved,vet_approved	BE0000751
Natalizumab	approved,investigational	BE0000590
Natalizumab	approved,investigational	BE0000901
Natalizumab	approved,investigational	BE0001085
Natalizumab	approved,investigational	BE0000710
Enfuvirtide	approved,investigational	BE0000398
Palivizumab	approved,investigational	BE0000686
Palivizumab	approved,investigational	BE0000901
Palivizumab	approved,investigational	BE0002093
Palivizumab	approved,investigational	BE0002094
Palivizumab	approved,investigational	BE0002095
Palivizumab	approved,investigational	BE0002096
Palivizumab	approved,investigational	BE0002097
Palivizumab	approved,investigational	BE0000710
Palivizumab	approved,investigational	BE0002099
Daclizumab	investigational,withdrawn	BE0000658
Daclizumab	investigational,withdrawn	BE0000651
Daclizumab	investigational,withdrawn	BE0000901
Daclizumab	investigational,withdrawn	BE0002093
Daclizumab	investigational,withdrawn	BE0002094
Daclizumab	investigational,withdrawn	BE0002095
Daclizumab	investigational,withdrawn	BE0002096
Daclizumab	investigational,withdrawn	BE0002097
Daclizumab	investigational,withdrawn	BE0000710
Daclizumab	investigational,withdrawn	BE0002098
Daclizumab	investigational,withdrawn	BE0002099
Daclizumab	investigational,withdrawn	BE0002100
Bevacizumab	approved,investigational	BE0000163
Bevacizumab	approved,investigational	BE0002094
Bevacizumab	approved,investigational	BE0002095
Bevacizumab	approved,investigational	BE0002096
Bevacizumab	approved,investigational	BE0002097
Bevacizumab	approved,investigational	BE0000710
Bevacizumab	approved,investigational	BE0002098
Bevacizumab	approved,investigational	BE0002099
Bevacizumab	approved,investigational	BE0002100
Technetium Tc-99m arcitumomab	experimental	BE0000107
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000102
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000378
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000323
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000392
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000331
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000151
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000529
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000424
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000404
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000727
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000253
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000181
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000778
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000692
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000273
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000007
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000660
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000079
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000002
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000448
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000164
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000518
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000618
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000667
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000603
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000409
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000316
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000278
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000441
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000791
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000517
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000721
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0002149
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000383
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0002150
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000916
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0002151
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0002152
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0002154
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0002155
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0002156
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0002158
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0002159
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0002160
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0002162
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0002163
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0004605
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0004612
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0002164
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0002165
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000292
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000898
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0002166
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0002167
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0002168
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0002170
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0000388
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0002171
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0002172
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0002173
Pyridoxal phosphate	approved,investigational,nutraceutical	BE0002174
Cyanocobalamin	approved,nutraceutical	BE0000734
Cyanocobalamin	approved,nutraceutical	BE0000777
Cyanocobalamin	approved,nutraceutical	BE0000763
Cyanocobalamin	approved,nutraceutical	BE0000320
Cyanocobalamin	approved,nutraceutical	BE0002175
Cyanocobalamin	approved,nutraceutical	BE0002176
Tetrahydrofolic acid	nutraceutical	BE0000617
Tetrahydrofolic acid	nutraceutical	BE0000268
Tetrahydrofolic acid	nutraceutical	BE0000010
Tetrahydrofolic acid	nutraceutical	BE0000933
Tetrahydrofolic acid	nutraceutical	BE0000734
Tetrahydrofolic acid	nutraceutical	BE0000822
Tetrahydrofolic acid	nutraceutical	BE0001240
Tetrahydrofolic acid	nutraceutical	BE0000331
Tetrahydrofolic acid	nutraceutical	BE0000292
Tetrahydrofolic acid	nutraceutical	BE0002176
Tetrahydrofolic acid	nutraceutical	BE0002154
Tetrahydrofolic acid	nutraceutical	BE0002177
Histidine	investigational,nutraceutical	BE0000002
Histidine	investigational,nutraceutical	BE0000740
Histidine	investigational,nutraceutical	BE0000285
Histidine	investigational,nutraceutical	BE0000086
Ademetionine	approved,investigational,nutraceutical	BE0000372
Ademetionine	approved,investigational,nutraceutical	BE0000101
Ademetionine	approved,investigational,nutraceutical	BE0000304
Ademetionine	approved,investigational,nutraceutical	BE0000323
Ademetionine	approved,investigational,nutraceutical	BE0000407
Ademetionine	approved,investigational,nutraceutical	BE0002089
Ademetionine	approved,investigational,nutraceutical	BE0008997
Ademetionine	approved,investigational,nutraceutical	BE0005015
Pyruvic acid	approved,investigational,nutraceutical	BE0000449
Pyruvic acid	approved,investigational,nutraceutical	BE0000178
Pyruvic acid	approved,investigational,nutraceutical	BE0000102
Pyruvic acid	approved,investigational,nutraceutical	BE0000386
Pyruvic acid	approved,investigational,nutraceutical	BE0000046
Pyruvic acid	approved,investigational,nutraceutical	BE0000174
Pyruvic acid	approved,investigational,nutraceutical	BE0000440
Pyruvic acid	approved,investigational,nutraceutical	BE0000098
Pyruvic acid	approved,investigational,nutraceutical	BE0000088
Pyruvic acid	approved,investigational,nutraceutical	BE0000253
Pyruvic acid	approved,investigational,nutraceutical	BE0000195
Pyruvic acid	approved,investigational,nutraceutical	BE0000361
Pyruvic acid	approved,investigational,nutraceutical	BE0000669
Pyruvic acid	approved,investigational,nutraceutical	BE0000698
Phenylalanine	approved,investigational,nutraceutical	BE0000692
Phenylalanine	approved,investigational,nutraceutical	BE0000789
Phenylalanine	approved,investigational,nutraceutical	BE0000038
Phenylalanine	approved,investigational,nutraceutical	BE0000753
Phenylalanine	approved,investigational,nutraceutical	BE0000028
Phenylalanine	approved,investigational,nutraceutical	BE0000561
Phenylalanine	approved,investigational,nutraceutical	BE0000614
Biotin	approved,investigational,nutraceutical	BE0000544
Biotin	approved,investigational,nutraceutical	BE0000159
Biotin	approved,investigational,nutraceutical	BE0000072
Biotin	approved,investigational,nutraceutical	BE0000702
Biotin	approved,investigational,nutraceutical	BE0000445
Biotin	approved,investigational,nutraceutical	BE0000698
Biotin	approved,investigational,nutraceutical	BE0000492
Biotin	approved,investigational,nutraceutical	BE0000626
Choline	approved,nutraceutical	BE0000494
Choline	approved,nutraceutical	BE0000426
Choline	approved,nutraceutical	BE0000615
Choline	approved,nutraceutical	BE0002179
Choline	approved,nutraceutical	BE0002180
Choline	approved,nutraceutical	BE0002181
Choline	approved,nutraceutical	BE0002186
Choline	approved,nutraceutical	BE0002341
L-Lysine	approved,nutraceutical	BE0000212
L-Lysine	approved,nutraceutical	BE0000052
L-Lysine	approved,nutraceutical	BE0000136
L-Lysine	approved,nutraceutical	BE0000562
L-Lysine	approved,nutraceutical	BE0000198
Arginine	investigational,nutraceutical	BE0000263
Arginine	investigational,nutraceutical	BE0000136
Arginine	investigational,nutraceutical	BE0000448
Arginine	investigational,nutraceutical	BE0000520
Arginine	investigational,nutraceutical	BE0000005
Arginine	investigational,nutraceutical	BE0000212
Arginine	investigational,nutraceutical	BE0000758
Arginine	investigational,nutraceutical	BE0000052
Arginine	investigational,nutraceutical	BE0000671
Ascorbic acid	approved,nutraceutical	BE0001361
Ascorbic acid	approved,nutraceutical	BE0004796
Ascorbic acid	approved,nutraceutical	BE0001225
Ascorbic acid	approved,nutraceutical	BE0002192
Ascorbic acid	approved,nutraceutical	BE0002117
Ascorbic acid	approved,nutraceutical	BE0002195
Ascorbic acid	approved,nutraceutical	BE0002197
Ascorbic acid	approved,nutraceutical	BE0000138
Ascorbic acid	approved,nutraceutical	BE0002200
Ascorbic acid	approved,nutraceutical	BE0002202
Ascorbic acid	approved,nutraceutical	BE0002206
Ascorbic acid	approved,nutraceutical	BE0002208
Ascorbic acid	approved,nutraceutical	BE0000060
Ascorbic acid	approved,nutraceutical	BE0002210
Ascorbic acid	approved,nutraceutical	BE0002203
Ascorbic acid	approved,nutraceutical	BE0002205
Ascorbic acid	approved,nutraceutical	BE0002213
Ascorbic acid	approved,nutraceutical	BE0002215
Ascorbic acid	approved,nutraceutical	BE0000087
Ascorbic acid	approved,nutraceutical	BE0002221
Ascorbic acid	approved,nutraceutical	BE0002223
Ascorbic acid	approved,nutraceutical	BE0002217
Ascorbic acid	approved,nutraceutical	BE0002211
Ascorbic acid	approved,nutraceutical	BE0002219
Spermine	experimental,nutraceutical	BE0000964
Spermine	experimental,nutraceutical	BE0000566
Spermine	experimental,nutraceutical	BE0004796
Spermine	experimental,nutraceutical	BE0000404
Spermine	experimental,nutraceutical	BE0000509
Spermine	experimental,nutraceutical	BE0000172
Spermine	experimental,nutraceutical	BE0000694
Aspartic acid	approved,nutraceutical	BE0003317
Aspartic acid	approved,nutraceutical	BE0003751
Aspartic acid	approved,nutraceutical	BE0000277
Aspartic acid	approved,nutraceutical	BE0000529
Aspartic acid	approved,nutraceutical	BE0000187
Aspartic acid	approved,nutraceutical	BE0000219
Aspartic acid	approved,nutraceutical	BE0000671
Aspartic acid	approved,nutraceutical	BE0000481
Aspartic acid	approved,nutraceutical	BE0000383
Aspartic acid	approved,nutraceutical	BE0000725
Aspartic acid	approved,nutraceutical	BE0000235
Aspartic acid	approved,nutraceutical	BE0000528
Aspartic acid	approved,nutraceutical	BE0002225
Aspartic acid	approved,nutraceutical	BE0002228
Aspartic acid	approved,nutraceutical	BE0001054
Aspartic acid	approved,nutraceutical	BE0000788
Aspartic acid	approved,nutraceutical	BE0002229
Aspartic acid	approved,nutraceutical	BE0002230
Aspartic acid	approved,nutraceutical	BE0009692
Ornithine	approved,nutraceutical	BE0000424
Ornithine	approved,nutraceutical	BE0000306
Ornithine	approved,nutraceutical	BE0000286
Ornithine	approved,nutraceutical	BE0000371
Ornithine	approved,nutraceutical	BE0000212
Ornithine	approved,nutraceutical	BE0000562
Ornithine	approved,nutraceutical	BE0000258
Ornithine	approved,nutraceutical	BE0000758
Ornithine	approved,nutraceutical	BE0000201
Ornithine	approved,nutraceutical	BE0000347
L-Glutamine	approved,investigational,nutraceutical	BE0000874
L-Glutamine	approved,investigational,nutraceutical	BE0000374
L-Glutamine	approved,investigational,nutraceutical	BE0002240
Adenosine phosphate	approved,investigational,nutraceutical	BE0000958
Adenosine phosphate	approved,investigational,nutraceutical	BE0004796
Adenosine phosphate	approved,investigational,nutraceutical	BE0000487
Adenosine phosphate	approved,investigational,nutraceutical	BE0000007
Adenosine phosphate	approved,investigational,nutraceutical	BE0000254
Adenosine phosphate	approved,investigational,nutraceutical	BE0001473
Adenosine phosphate	approved,investigational,nutraceutical	BE0001287
Adenosine phosphate	approved,investigational,nutraceutical	BE0000350
Adenosine phosphate	approved,investigational,nutraceutical	BE0000677
Adenosine phosphate	approved,investigational,nutraceutical	BE0000269
Adenosine phosphate	approved,investigational,nutraceutical	BE0000639
Adenosine phosphate	approved,investigational,nutraceutical	BE0002431
Adenosine phosphate	approved,investigational,nutraceutical	BE0003540
Adenosine phosphate	approved,investigational,nutraceutical	BE0004907
alpha-Linolenic acid	approved,investigational,nutraceutical	BE0000888
alpha-Linolenic acid	approved,investigational,nutraceutical	BE0002246
alpha-Linolenic acid	approved,investigational,nutraceutical	BE0000986
alpha-Linolenic acid	approved,investigational,nutraceutical	BE0001023
alpha-Linolenic acid	approved,investigational,nutraceutical	BE0000071
alpha-Linolenic acid	approved,investigational,nutraceutical	BE0001777
alpha-Linolenic acid	approved,investigational,nutraceutical	BE0001007
alpha-Linolenic acid	approved,investigational,nutraceutical	BE0000215
alpha-Linolenic acid	approved,investigational,nutraceutical	BE0000412
alpha-Linolenic acid	approved,investigational,nutraceutical	BE0009936
alpha-Linolenic acid	approved,investigational,nutraceutical	BE0009375
Serine	investigational,nutraceutical	BE0000323
Serine	investigational,nutraceutical	BE0000164
Serine	investigational,nutraceutical	BE0000388
Serine	investigational,nutraceutical	BE0000660
Serine	investigational,nutraceutical	BE0000441
Serine	investigational,nutraceutical	BE0000063
Serine	investigational,nutraceutical	BE0000316
Methionine	approved,nutraceutical	BE0000763
Methionine	approved,nutraceutical	BE0000734
Methionine	approved,nutraceutical	BE0001534
Methionine	approved,nutraceutical	BE0000845
Methionine	approved,nutraceutical	BE0002249
Tyrosine	approved,investigational,nutraceutical	BE0000614
Tyrosine	approved,investigational,nutraceutical	BE0000363
Tyrosine	approved,investigational,nutraceutical	BE0000230
Tyrosine	approved,investigational,nutraceutical	BE0000692
Calcitriol	approved,nutraceutical	BE0000779
Calcitriol	approved,nutraceutical	BE0008987
Cystine	approved,nutraceutical	BE0000030
Cystine	approved,nutraceutical	BE0000035
Succinic acid	approved,nutraceutical	BE0002258
Succinic acid	approved,nutraceutical	BE0000152
Riboflavin	approved,investigational,nutraceutical,vet_approved	BE0000370
Riboflavin	approved,investigational,nutraceutical,vet_approved	BE0003327
Riboflavin	approved,investigational,nutraceutical,vet_approved	BE0000595
N-Acetylglucosamine	approved,investigational,nutraceutical	BE0000259
N-Acetylglucosamine	approved,investigational,nutraceutical	BE0002263
N-Acetylglucosamine	approved,investigational,nutraceutical	BE0002265
N-Acetylglucosamine	approved,investigational,nutraceutical	BE0002266
N-Acetylglucosamine	approved,investigational,nutraceutical	BE0000391
N-Acetylglucosamine	approved,investigational,nutraceutical	BE0000109
Glutamic acid	approved,nutraceutical	BE0000824
Glutamic acid	approved,nutraceutical	BE0000833
Glutamic acid	approved,nutraceutical	BE0000827
Glutamic acid	approved,nutraceutical	BE0000828
Glutamic acid	approved,nutraceutical	BE0000834
Glutamic acid	approved,nutraceutical	BE0000835
Glutamic acid	approved,nutraceutical	BE0002267
Glutamic acid	approved,nutraceutical	BE0002268
Glutamic acid	approved,nutraceutical	BE0002235
